92,125,328,900,15,21,255,196,42,32,875,392,318,875
93,18,65,171,16,825,114,29,45,11,336,138,222,665
94,75,225,900,15,50,200,404,14,275,900,472,352,875
95,20,58,303,16,825,128,22,42,875,275,70,122,347
96,250,550,900,15,50,309,345,42,75,900,541,346,900
97,34,59,261,15,14,127,45,42,875,331,52,129,288
98,850,18,44,16,825,59,17,38,875,125,37,96,214
99,19,151,376,16,10,112,58,45,875,498,157,339,900
100,19,107,395,7,825,181,81,35,10,440,143,155,601
101,875,42,63,2,75,76,10,10,100,42,16,42,104
102,20,78,236,16,825,161,38,44,11,373,191,330,875
103,75,239,452,15,18,169,167,44,31,672,241,279,759
104,19,79,239,16,825,155,36,45,11,365,192,334,875
105,14,100,169,16,825,95,30,44,147,294,99,114,676
106,875,35,121,16,850,94,21,45,875,125,60,94,269
107,75,238,900,15,50,195,397,13,300,900,448,350,900
108,13,56,106,2,75,122,42,12,100,346,117,170,488
109,22,140,418,16,850,122,61,45,875,575,170,348,875
110,23,75,453,7,825,210,105,35,850,645,160,181,650
111,23,102,276,16,12,173,56,43,15,450,217,324,900
112,875,15,22,15,825,25,900,42,900,14,90,23,47
113,875,900,39,14,800,25,900,37,875,900,12,10,30
114,16,85,225,15,825,134,59,42,850,350,147,262,699
115,16,147,179,15,850,70,23,45,825,225,67,113,407
116,18,129,297,16,850,120,36,45,10,310,108,254,780
117,875,900,46,6,825,41,900,35,875,900,900,21,72
118,875,47,50,16,825,51,900,44,850,67,27,110,233
119,875,29,75,16,825,64,15,44,875,63,83,81,215
120,875,29,72,16,825,92,43,38,875,118,90,78,323
121,875,17,129,3,775,82,39,33,900,239,48,56,195
122,34,155,585,15,16,218,122,42,12,692,295,358,900
